Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-55.20146	-93.46496	38.26351	25.3849	0.495917	0.0280875	0.058747	0.417248	0.3968865	0.5725646
6	-49.79775	-94.61778	44.82003	1.207454	0.185731	0.0455644	0.0684885	0.700216	0.6141138	0.6899856
12	-59.17548	-102.6455	43.47	2.583762	0.422894	0.0400229	0.155942	0.381141	0.4661703	1.162768
18	-52.48946	-97.43966	44.9502	1.220751	0.506905	0.0361861	0.133641	0.323268	0.5153233	0.4208363
24	-48.21448	-94.08976	45.87528	0.7081082	0.00712061	0.248382	0.344862	0.399636	0.1158153	0.5480271
30	-53.03623	-97.02203	43.9858	3.019643	0.00254076	0.731809	0.123053	0.142597	0.1001198	0.6936213
36	-45.39602	-90.86798	45.47196	0.6246231	0.0116	0.424236	0.488077	0.0760865	0.2232532	1.078796
42	-49.05689	-94.74124	45.68435	0.3618194	0.00858111	0.590286	0.361057	0.040076	0.2533693	0.1755129
48	-50.88823	-96.12952	45.24129	0.06533703	0.0125112	0.624708	0.239686	0.123095	0.3767696	0.3027783
54	-54.09498	-96.9881	42.89312	5.256078	0.0664697	0.362126	0.50005	0.0713547	0.1169191	0.6240451
60	-52.9082	-97.46673	44.55853	2.198088	0.322789	0.346175	0.280424	0.050612	0.09127839	0.6357929
66	-56.90053	-99.74191	42.84138	4.663919	0.268504	0.321916	0.367479	0.0421003	0.3523453	0.7593542
72	-57.33149	-100.1906	42.85914	3.413592	0.244579	0.436993	0.159698	0.15873	0.3102887	1.384218
78	-54.70566	-100.0012	45.29558	0.4988585	0.616662	0.271618	0.0785252	0.0331947	0.7544947	0.8429382
84	-46.57671	-92.43522	45.85851	0.3386761	0.0701212	0.0156048	0.751616	0.162658	0.3386845	0.8313717
90	-53.40646	-98.66105	45.25459	0.3009713	0.556473	0.070028	0.0941724	0.279327	1.093879	0.3995006
96	-54.11199	-98.45753	44.34553	1.905107	0.392623	0.0494087	0.360887	0.197081	0.5265195	0.3938329
102	-47.18292	-92.41473	45.23182	1.153541	0.47369	0.123032	0.142368	0.260909	0.3052057	0.557706
108	-51.09919	-95.96268	44.86349	1.89557	0.172986	0.0123025	0.556032	0.258679	0.005267069	0.6486115
114	-53.61926	-98.85223	45.23297	0.2765257	0.159224	0.563376	0.0508133	0.226587	0.8983913	0.9401956
120	-57.46714	-103.2421	45.77498	0.2398356	0.227587	0.126626	0.188111	0.457676	0.6071362	0.5173107
126	-56.08266	-100.8234	44.74072	0.8893564	0.456084	0.0461723	0.416993	0.0807503	0.9957583	0.33627
132	-53.46586	-97.85525	44.38939	1.331458	0.235389	0.0721155	0.51358	0.178916	0.9395309	0.3599333
138	-56.93433	-102.2757	45.34133	0.2697161	0.0472095	0.819748	0.0397779	0.0932647	1.028373	0.4263141
144	-62.50112	-106.3771	43.87599	2.36603	0.0977814	0.656239	0.227316	0.0186639	0.6277433	0.6933961
150	-60.3301	-102.9698	42.63967	5.319501	0.501226	0.334643	0.0472795	0.116852	0.2398466	0.8007079
156	-56.31411	-100.0266	43.71245	3.108196	0.280741	0.347842	0.195324	0.176093	0.01968168	1.053146
162	-61.25586	-104.1706	42.91476	3.973339	0.408498	0.174604	0.0612604	0.355638	0.116881	1.257457
168	-53.22539	-98.91979	45.6944	0.3999515	0.219422	0.0434795	0.351197	0.385902	0.5065818	0.7648481
174	-66.36955	-109.0305	42.66095	4.250724	0.496222	0.0240066	0.187235	0.292536	0.8267638	0.4980775
180	-55.94225	-100.7846	44.84235	1.869444	0.170116	0.164126	0.527503	0.138255	0.02143413	0.6976765
186	-60.36524	-101.0389	40.67368	10.26571	0.170116	0.164126	0.527503	0.138255	0.672521	0.6822243
192	-55.30337	-99.40135	44.09798	2.92	0.783363	0.00303482	0.0924478	0.121154	0.1073981	0.5157489
198	-47.36301	-92.81121	45.4482	0.4937068	0.283551	0.0938135	0.0429108	0.579725	0.7159502	0.3524162
204	-50.34697	-94.44467	44.09769	2.18139	0.723058	0.0859423	0.0741138	0.116886	0.5718182	0.6165732
210	-50.02624	-95.00857	44.98233	1.256093	0.198373	0.316551	0.224706	0.26037	0.4094141	0.6843808
216	-54.27811	-99.85545	45.57733	0.1764449	0.0769935	0.620233	0.272556	0.0302181	0.7515089	0.4354106
222	-53.58074	-98.44607	44.86533	1.518742	0.0914093	0.107968	0.163142	0.63748	0.2921662	0.6842649
228	-53.05675	-98.42367	45.36692	0.5052046	0.509677	0.124889	0.185453	0.179981	0.6704535	0.8507176
234	-50.10483	-95.83907	45.73424	0.3762786	0.409271	0.465171	0.0637193	0.0618394	0.5778416	0.5839072
240	-53.6851	-97.7766	44.0915	2.483604	0.108834	0.196206	0.516239	0.178721	0.003065567	1.079498
246	-52.67	-98.39586	45.72586	0.4613062	0.195871	0.20695	0.275529	0.32165	0.4178012	0.3032027
252	-47.4729	-92.6819	45.209	0.5561712	0.116967	0.139464	0.605165	0.138404	0.9432895	0.5406148
258	-47.02849	-92.81841	45.78992	0.4073783	0.228501	0.121581	0.527565	0.122354	0.4827717	0.3933426
264	-51.08153	-94.9913	43.90977	1.505067	0.107476	0.279645	0.331456	0.281423	1.26262	0.3560308
270	-50.19726	-93.88531	43.68805	2.921619	0.152447	0.396657	0.251941	0.198955	0.4778813	0.6528144
