Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	tree_length
0	-49.45868	-94.53946	45.08078	0.074529	0.339064	0.660936	0.925471	0.644845	0.0280552	0.0059301	0.00133724	0.00146355	0.0215738	0.00121958	0.00789904	0.000798627	0.0018526	0.00840984	0.0098848	0.0164204	0.0240367	0.0281991	0.000428636	0.00421194	0.00462804	0.0204367	0.00255129	0.0273248	0.00101496	0.069611	0.00802265	0.0287083	0.00480394	0.00840656	0.020168	0.0408227	0.0625558	0.0258312	0.00048821	0.00250694	0.00416126	0.020478	0.014914	0.157359	0.219851	0.366814	0.255977	0.25785	0.516324	0.813649	1.22903	1.93677	3.87822	0.9800306	0.0530188	0.0112067	0.00252713	0.00276581	0.0407703	0.00230478	0.0149276	0.00150925	0.00350104	0.015893	0.0186803	0.0310313	0.0454247	0.0532908	0.000810038	0.00795975	0.00874609	0.0386213	0.00482144	0.0516385	0.00191808	0.131551	0.0151612	0.054253	0.0090785	0.0158868	0.0381136	0.077147	0.118218	0.0488159	0.00092262	0.00473763	0.00786397	0.0386994	0.0281844	0.5291555
36	-45.87183	-91.76132	45.88949	0.0610179	0.32611	0.67389	0.938982	0.5642242	0.0236257	0.010322	0.00169475	0.000667903	0.0324016	0.00100575	0.025212	0.00142517	0.00424982	0.0174333	0.00993543	0.0102428	0.0125224	0.0467918	0.00202487	0.00107686	0.00879805	0.00180812	0.00326988	0.00310144	0.00413938	0.07596	0.0100161	0.0393508	0.0178937	0.0015325	0.0038655	0.0672921	0.0310135	0.00617144	0.000308043	0.016203	0.00843157	0.012	0.0242997	0.492504	0.258821	0.190027	0.0586482	0.702705	0.84192	0.947733	1.05515	1.18776	1.42307	0.2551114	0.0440707	0.0192543	0.00316133	0.00124589	0.0604409	0.00187609	0.0470298	0.00265846	0.00792748	0.0325196	0.0185332	0.0191067	0.0233589	0.087284	0.00377713	0.00200873	0.0164116	0.00337282	0.00609954	0.00578533	0.00772148	0.141693	0.0186836	0.0734038	0.0333784	0.00285867	0.00721058	0.125525	0.0578516	0.011512	0.000574614	0.0302246	0.015728	0.0223843	0.0453279	0.536087
72	-56.03101	-102.016	45.98498	0.0298405	0.284036	0.715964	0.970159	0.3861716	0.02132	0.00550762	0.00519946	0.0291639	0.020065	0.0102999	0.00489916	0.0306952	0.0372744	0.0168421	0.00402899	0.00508709	0.00320112	0.067254	0.00709035	0.000504713	0.00264456	0.0275202	0.00132157	0.000859121	0.00625021	0.0646005	0.00432166	0.0128139	0.0139514	0.0119612	0.0043807	0.0445896	0.00833507	0.00146552	0.00670807	0.0170737	0.0152879	0.0262326	0.0151775	0.350793	0.136818	0.492801	0.0195881	0.636613	0.802323	0.933596	1.07113	1.24638	1.57081	0.3265334	0.0384887	0.00994285	0.00938652	0.0526492	0.036223	0.0185943	0.0088444	0.0554137	0.0672911	0.0304049	0.00727348	0.00918366	0.00577895	0.121413	0.0128001	0.000911153	0.00477419	0.0496819	0.00238582	0.00155096	0.0112834	0.116623	0.00780184	0.0231328	0.0251863	0.0215935	0.00790843	0.0804971	0.0150472	0.00264569	0.01211	0.030823	0.027599	0.0473574	0.0273998	0.5539281
108	-57.14218	-101.0613	43.91914	0.0994682	0.358681	0.641319	0.900532	0.807306	0.00121443	0.00930686	0.00200378	0.0080609	0.000866987	0.000505552	0.0018945	0.00029096	0.00857988	0.00346845	0.000808542	0.000116888	0.00861802	0.0197503	0.00057558	0.00230924	0.00200027	0.00189774	0.00201495	0.00912315	0.00557576	0.00600315	0.00100196	0.00632691	0.0016245	0.0111138	0.00734865	0.011187	0.00111288	0.000560285	0.00180964	0.00167856	0.00193536	0.0116258	0.0258849	0.164178	0.110034	0.414918	0.31087	0.111899	0.343646	0.716597	1.39548	2.90998	8.93661	1.583634	0.00681514	0.0522281	0.0112448	0.0452361	0.00486535	0.00283705	0.0106316	0.00163281	0.0481485	0.0194642	0.00453737	0.00065595	0.0483625	0.110835	0.00323004	0.012959	0.0112251	0.0106497	0.0113075	0.0511972	0.03129	0.0336884	0.00562277	0.0355053	0.00911634	0.0623686	0.0412391	0.0627789	0.00624523	0.0031442	0.0101553	0.00941971	0.0108609	0.0652418	0.145261	0.1781962
144	-53.78643	-99.68873	45.9023	0.0633083	0.328457	0.671543	0.936692	0.57762	0.00760704	0.0101281	0.00667024	0.0533986	0.0274516	0.000540099	0.0124476	0.000485832	0.0378746	0.0288892	0.00734704	0.0104991	0.0464915	0.0794379	0.0186588	0.0145526	0.0108335	0.00421184	0.000359958	0.0507998	0.0587535	0.0248997	0.00452654	0.0440091	0.050151	0.10657	0.0309913	0.000266051	0.00495793	0.0112015	0.0128549	0.0230212	0.00501169	0.0115232	0.0584284	0.319753	0.349266	0.195493	0.135488	0.946528	0.973554	0.991673	1.0084	1.02716	1.05649	0.03973621	0.00868532	0.0115638	0.00761572	0.0609677	0.0313428	0.000616657	0.014212	0.000554697	0.0432432	0.0329842	0.00838847	0.0119873	0.0530816	0.090698	0.0213037	0.0166154	0.0123692	0.00480886	0.000410981	0.0580005	0.0670817	0.0284291	0.00516817	0.0502472	0.0572598	0.121675	0.0353842	0.000303763	0.00566071	0.0127892	0.0146771	0.0262844	0.00572209	0.0131566	0.0667105	0.8758506
180	-47.9672	-93.97984	46.01264	0.0268017	0.278286	0.721714	0.973198	0.3683592	0.00247067	0.0539683	0.00785411	0.0277944	0.00156131	0.00547498	0.00615624	0.0170838	0.000413737	0.00953809	0.022328	0.00111269	0.0228724	0.10794	0.00885176	0.0193035	0.00711384	0.0179794	0.00269635	0.0854067	0.0556967	0.0192827	0.0146336	0.0394423	0.0408838	0.0607268	0.0080686	0.00661525	0.043306	0.00741258	0.0121861	0.0289213	0.0208531	0.000878013	0.0630784	0.159737	0.177516	0.571553	0.0911932	0.813927	0.904466	0.969159	1.03182	1.10562	1.22861	0.148869	0.00290699	0.0634991	0.00924116	0.032703	0.00183704	0.00644187	0.00724344	0.0201008	0.000486803	0.0112225	0.0262712	0.0013092	0.0269117	0.127003	0.010415	0.0227125	0.00837015	0.0211546	0.00317253	0.10049	0.0655328	0.022688	0.0172179	0.0464079	0.0481039	0.0714512	0.00949352	0.00778351	0.0509539	0.00872165	0.0143382	0.0340289	0.0245357	0.00103307	0.0742181	0.8499057
216	-59.67612	-104.0772	44.40104	0.203829	0.412563	0.587438	0.796171	1.898948	0.0434849	0.0318786	0.00582888	0.0339327	0.00856105	0.0066841	0.00967758	0.0351695	0.000139094	0.018581	0.0300407	0.00224106	0.00316927	0.0237031	0.00418497	0.00595683	0.0491405	0.0496451	0.00329182	0.0465265	0.0120116	0.00854006	0.00498823	0.00260967	0.0137041	0.0808673	0.00928384	0.00727305	0.0701496	0.0137299	0.0019715	0.0119154	0.031591	0.00640833	0.0508626	0.0633963	0.0365324	0.808439	0.091632	0.56283	0.755541	0.91626	1.09139	1.32355	1.77674	0.4156043	0.0589431	0.0432109	0.00790096	0.0459952	0.0116044	0.0090602	0.0131178	0.0476717	0.00018854	0.0251863	0.0407197	0.00303772	0.0042959	0.0321292	0.00567267	0.0080744	0.0666092	0.0672932	0.00446201	0.0630659	0.0162816	0.0115759	0.00676147	0.00353737	0.0185757	0.109614	0.0125841	0.00985851	0.0950868	0.0186107	0.00267234	0.0161512	0.0428211	0.00868639	0.0689434	0.7377433
252	-56.86447	-99.89673	43.03226	0.288982	0.442366	0.557634	0.711018	4.153289	0.0482987	0.022034	0.0101491	0.00770947	0.0383774	0.00705968	0.032165	0.0199196	0.0166593	0.012361	0.0130387	0.00173536	0.0108263	0.0490536	0.0222085	0.0374552	0.0177816	0.00648825	0.00419265	0.068328	0.0143539	0.0133352	0.0140837	0.0345811	0.0358455	0.060597	0.0186982	0.00232911	0.0434345	0.00654232	0.0176683	0.00758672	0.0616889	0.00705177	0.028743	0.604334	0.0842282	0.17201	0.139428	0.60499	0.782633	0.926386	1.07946	1.27774	1.65292	0.3633736	0.0594533	0.0271228	0.0124931	0.00948997	0.0472407	0.00869012	0.0395935	0.02452	0.0205067	0.0152158	0.01605	0.00213615	0.0133266	0.0603826	0.0273375	0.0461054	0.0218883	0.00798671	0.00516094	0.0841083	0.0176689	0.016415	0.0173363	0.0425676	0.044124	0.0745919	0.0230166	0.00286702	0.0534657	0.00805327	0.0217489	0.00933888	0.075936	0.00868037	0.0353812	0.8123806
288	-59.1298	-105.1204	45.99056	0.00034037	0.139033	0.860967	0.99966	0.1236695	0.0108016	3.17484e-05	0.00704155	0.0186349	0.00902407	0.00172783	0.00844529	0.00346814	0.0538184	0.00168173	0.0350023	0.00657612	0.00089574	0.0326688	0.0193538	0.00138854	0.064164	0.0091052	0.00229403	0.00509881	0.0480035	0.0597563	0.0667004	0.0372345	0.0399618	0.0975312	0.00104713	0.0209575	0.000140358	0.110663	0.024109	9.33274e-05	0.0120715	0.0271676	0.0236817	0.0572528	0.105496	0.708789	0.128462	0.956171	0.978379	0.993204	1.00684	1.0221	1.04584	0.03240681	0.012555	3.69021e-05	0.0081846	0.0216599	0.0104889	0.00200831	0.00981621	0.00403113	0.0625547	0.00195473	0.0406842	0.00764362	0.00104114	0.037972	0.0224954	0.00161395	0.0745797	0.0105832	0.00266641	0.0059265	0.0557958	0.0694565	0.0775278	0.0432788	0.0464488	0.113363	0.00121711	0.0243595	0.000163142	0.128627	0.0280226	0.000108477	0.014031	0.0315777	0.0275259	0.860341
324	-55.41293	-98.36504	42.95211	0.289548	0.442543	0.557457	0.710453	4.177808	0.00102298	0.000140032	0.00413469	0.0345564	0.0138566	0.0339682	0.00402667	0.0264953	0.0058233	0.0049947	0.00755553	0.0273272	0.0317129	0.0946232	0.00749827	0.00527292	0.0529656	0.0243071	0.00218193	0.00170109	0.0584606	0.0310029	0.0400476	0.035143	0.0259436	0.0989474	0.0179027	0.00162577	4.09057e-05	0.0503957	0.00845821	2.41896e-05	0.00366556	0.0132235	0.0551546	0.218099	0.347201	0.393367	0.0413323	0.557602	0.75211	0.91496	1.09294	1.32959	1.79339	0.422352	0.00124118	0.0001699	0.00501661	0.0419271	0.0168122	0.0412135	0.00488554	0.0321466	0.00706538	0.00606005	0.00916709	0.0331561	0.0384772	0.114806	0.00909762	0.00639762	0.064263	0.0294917	0.00264733	0.00206392	0.07093	0.0376158	0.0485896	0.0426389	0.0314773	0.120053	0.0217213	0.00197255	4.96308e-05	0.0611449	0.0102623	2.93492e-05	0.00444741	0.016044	0.0669189	0.8242008
